,place_id,place_name,lat,lng,place_address,category
14059,14821,합정교회,37.577519099999996,126.8816308,서울특별시 마포구 월드컵로42길 2,종교집회장
14062,14822,해피데이사우나,37.5316291,127.0864804,서울특별시 광진구 자양로 38,미용원·목욕장
14067,14823,핵심교회,37.4856033,127.1338135,서울특별시 송파구 충민로 182,종교집회장
14070,14825,행복한감리교회,37.486567799999996,126.95204509999999,서울특별시 관악구 은천로 149,종교집회장
14073,14827,현대교회,37.484733399999996,126.9924845,서울특별시 서초구 방배로19길 44,종교집회장
14075,14828,현대홈쇼핑,37.539083500000004,127.12564099999999,서울특별시 강동구 올림픽로70길 34,수퍼마켓·일용품 등의 도매·소매시장
14080,14829,혜성교회,37.568095899999996,127.02387859999999,서울특별시 성동구 마장로 125,종교집회장
14083,14830,혜원교회(종교단체),37.54340300000001,126.9439656,서울특별시 마포구 토정로31길  57-5,종교집회장
14085,14831,혜현교회,37.5760531,126.81964550000001,서울특별시 강서구 방화대로48길 49,종교집회장
14087,14832,호림 아트센터,37.52288239999999,127.03645790000002,서울특별시 강남구 도산대로45길 6,지역자치센터
14092,14833,호산나교회,37.6391456,127.0603687,서울특별시 노원구 동일로207길 140,종교집회장
14094,14836,호수공원방문자센터,37.527430700000004,126.83008659999999,서울특별시 양천구 남부순환로64길 20,지역자치센터
14098,14839,홍성교회,37.597875099999996,126.94915590000001,서울특별시 서대문구 포방터길  28,종교집회장
14101,14840,홍은3동성당,37.5787475,126.92941950000001,서울특별시 서대문구 가좌로 59,종교집회장
14103,14841,홍은동성당,37.5960655,126.94622340000002,서울특별시 서대문구 세검정로1길 129,종교집회장
14106,14842,화곡동 종교시설(평안교회),37.5350043,126.85190759999999,서울특별시 강서구 강서로18길  116,종교집회장
14108,14843,화곡동교회(치유하는 교회),37.5318809,126.84420729999998,서울특별시 강서구 강서로15길  37,종교집회장
14111,14844,화양교회,37.5481403,127.0737895,서울특별시 광진구 능동로 195-12,종교집회장
14114,14845,화평제일교회,37.54848670000001,126.87576840000001,서울특별시 강서구 공항대로75길 52,종교집회장
14116,14846,횃불교회,37.5246359,126.8666824,서울특별시 양천구 오목로52길 12,종교집회장
14118,14847,효성교회,37.6187479,127.0326815,서울특별시 강북구 오패산로 191,종교집회장
14120,14850,후기성도교회,37.5883244,126.9807942,서울특별시 종로구 삼청로9길 45,종교집회장
14123,14852,흑석제일감리교회,37.5029945,126.96273959999999,서울특별시 동작구 서달로10나길 21,종교집회장
14125,14853,흑석체육센터,37.510051399999995,126.9634913,서울특별시 동작구 현충로 73,체육관(운동장)
14128,14854,흥원사가양동법당,37.571990899999996,126.8404808,서울특별시 강서구 양천로49길  56-12,종교집회장
14129,14855,흥황교회,37.4817169,126.8361392,서울특별시 구로구 천왕로1길 33,종교집회장
14132,14856,FR푸드시스템,37.5578004,126.8429146,서울특별시 강서구 공항대로  318,일반음식점
14144,14858,The만나,37.6228422,127.06072569999999,서울특별시 노원구 석계로 103,일반음식점
14158,14859,㈜이리오어라(한정식),37.5229563,127.03220759999999,서울특별시 강남구 언주로153길  12,일반음식점
14169,14860,가야옥,37.6584051,127.03532879999999,서울특별시 도봉구 도당로   2,일반음식점
14179,14861,가족천하,37.498813399999996,126.89634579999999,서울특별시 영등포구 가마산로 330,일반음식점
14190,14862,갈비둥지,37.6594099,127.0756895,서울특별시 노원구 덕릉로 692,일반음식점
14201,14863,갈비사랑,37.48248770000001,127.03673590000001,서울특별시 서초구 강남대로  204,일반음식점
14215,14864,갈비세상,37.4985185,126.85183049999999,서울특별시 구로구 경인로 281,일반음식점
14225,14865,갈비예찬,37.65168060000001,127.03699240000002,서울특별시 도봉구 노해로 259,일반음식점
14236,14866,감자바우,37.5268281,127.0330002,서울특별시 강남구 언주로 855,일반음식점
14247,14867,강강술래,37.6738467,127.05603640000001,서울특별시 노원구 동일로 1628,일반음식점
14257,14869,개성면옥,37.60411120000001,127.0129438,서울특별시 성북구 정릉로  263,일반음식점
14265,14870,개성면옥(함흥냉면),37.552123200000004,126.87010579999999,서울특별시 강서구 양천로 660,일반음식점
14275,14871,거북이집,37.559869,126.92686850000001,서울특별시 서대문구 연희로  12-1,일반음식점
14285,14872,경복궁,37.5159388,127.1090497,서울특별시 송파구 올림픽로  348,일반음식점
14295,14873,경복궁(불고기브라더스),37.5580246,126.8384644,서울특별시 강서구 공항대로  280,일반음식점
14304,14874,경인빌딩(엉터리생고기),37.4833907,126.94278759999999,서울특별시 관악구 봉천로 385,일반음식점
14314,14875,고기굼터,37.566858700000004,126.84373490000002,서울특별시 강서구 양천로 376,일반음식점
14323,14876,골방집,37.6344328,127.0369615,서울특별시 강북구 한천로 926,일반음식점
14332,14877,공룡고기,37.4503787,126.9018373,서울특별시 금천구 시흥대로  185,일반음식점
14341,14879,광양림,37.5186215,126.8883051,서울특별시 영등포구 선유로9가길  16,일반음식점
14353,14880,교촌1991,37.5018431,127.0246486,서울특별시 서초구 강남대로69길  8,일반음식점
14363,14881,궁안뜰,37.6287838,127.0767277,서울특별시 노원구 공릉로51길 7,일반음식점
14372,14882,근린생활시설(고갯마루한정식),37.667333,127.0707848,서울특별시 노원구 수락산로 56,일반음식점
14380,14883,근린생활시설(대게나라),37.6578035,127.06847490000001,서울특별시 노원구 상계로 122,일반음식점
14391,14884,근린생활시설(못된송아지),37.6571312,127.0632555,서울특별시 노원구 상계로5길 26,일반음식점
14399,14885,근린생활시설(배밭고을),37.67225429999999,127.0554497,서울특별시 노원구 동일로 1611,일반음식점
14405,14886,근린생활시설(벽창우생고기전문점),37.674608899999996,127.0581706,서울특별시 노원구 동일로242길 54,일반음식점
14411,14888,근린생활시설(생고기전문점취어당),37.65641110000001,127.0665028,서울특별시 노원구 노원로 447,일반음식점
14420,14889,근린생활시설(엉터리생고기),37.658367999999996,127.06428190000001,서울특별시 노원구 상계로7길 39,일반음식점
14427,14890,근린생활시설(진할매칼국수보쌈),37.6747426,127.0612541,서울특별시 노원구 동일로242길 109,일반음식점
14436,14891,근린생활시설(착한고기),37.67104000000001,127.05298700000002,서울특별시 노원구 수락산로 232,일반음식점
14444,14892,근린생활시설(천하뼈다귀감자탕),37.67086550000001,127.0557297,서울특별시 노원구 동일로 1595,일반음식점
14450,14893,근린생활시설(친구네숯불닭갈비),37.6748449,127.0615007,서울특별시 노원구 동일로242길 123,일반음식점
14455,14894,근린생활시설(풍천민물장어),37.65561760000001,127.06422590000001,서울특별시 노원구 노해로81길 12-26,일반음식점
14463,14895,근린생활시설(화통구이),37.6645344,127.07715590000001,서울특별시 노원구 덕릉로 754,일반음식점
14470,14896,근린생활시설(황금오리농원),37.6720446,127.05472560000001,서울특별시 노원구 동일로231길 17,일반음식점
14475,14897,금수복국,37.523537899999994,127.0327801,서울특별시 강남구 언주로  821,일반음식점
14483,14899,나주곰탕,37.4851772,126.9302453,서울특별시 관악구 신림로64길  9,일반음식점
14488,14900,남원추어탕,37.640721,127.0702199,서울특별시 노원구 한글비석로1길 69,일반음식점
14494,14901,논골집,37.5256847,127.05166259999999,서울특별시 강남구 압구정로79길 55,일반음식점
14502,14902,놀부 유황오리 진흙구이 청담점(청담솔 빌딩),37.5237188,127.04864029999999,서울특별시 강남구 삼성로148길 10,일반음식점
